Category (UM-Ann Arbor grants Bachelor's degrees; no undergraduate Diploma/Certificates or Associate degrees),Bachelor’s degrees (First majors),,CIP 2010 Categories to Include
Agriculture,,,1
Natural resources and conservation,96,1.4%,3
Architecture,62,0.9%,4
"Area, ethnic, and gender studies",70,1.0%,5
Communication/journalism,227,3.2%,9
Communication technologies,,,10
Computer and information sciences,858,12.1%,11
Personal and culinary services,,,12
Education,59,0.8%,13
Engineering,"1,136",16.1%,14
Engineering technologies,,,15
"Foreign languages, literatures, and linguistics",138,2.0%,16
Family and consumer sciences,,,19
Law/legal studies,,,22
English,128,1.8%,23
Liberal arts/general studies,40,0.6%,24
Library science,,,25
Biological/life sciences,620,8.8%,26
Mathematics and statistics,169,2.4%,27
Military science and military technologies,,,28 & 29
Interdisciplinary studies,226,3.2%,30
Parks and recreation,240,3.4%,31
Philosophy and religious studies,31,0.4%,38
Theology and religious vocations,,,39
Physical sciences,121,1.7%,40
Science technologies,,,41
Psychology,592,8.4%,42
"Homeland Security, law enforcement, firefighting, and protective services",,,43
Public administration and social services,73,1.0%,44
Social sciences,779,11.0%,45
Construction trades,,,46
Mechanic and repair technologies,,,47
Precision production,,,48
Transportation and materials moving,,,49
Visual and performing arts,369,5.2%,50
Health professions and related programs,303,4.3%,51
Business/marketing,654,9.2%,52
History,85,1.2%,54
Other,,,-
TOTAL,"7,076",100%,
